uid,title,genre,episodes,members,popularity,ranked,score,img_url,link
492,Armitage III: Dual-Matrix,"['Action', 'Sci-Fi', 'Adventure', 'Mecha']",1,14261,3748,4085,6.92,https://cdn.myanimelist.net/images/anime/6/2858.jpg,https://myanimelist.net/anime/492/Armitage_III__Dual-Matrix
1214,Binbou Shimai Monogatari,"['Slice of Life', 'Comedy', 'Drama', 'Seinen']",10,16142,3553,4086,6.92,https://cdn.myanimelist.net/images/anime/13/16053.jpg,https://myanimelist.net/anime/1214/Binbou_Shimai_Monogatari
244,Agatha Christie no Meitantei Poirot to Marple,"['Historical', 'Mystery']",39,5657,5469,4084,6.92,https://cdn.myanimelist.net/images/anime/6/3149.jpg,https://myanimelist.net/anime/244/Agatha_Christie_no_Meitantei_Poirot_to_Marple
1897,Zettai Muteki Raijin-Oh,"['Adventure', 'Mecha', 'School', 'Sci-Fi']",51,1089,9343,4082,6.93,https://cdn.myanimelist.net/images/anime/1152/91073.jpg,https://myanimelist.net/anime/1897/Zettai_Muteki_Raijin-Oh
1549,1000-nen Joou: Queen Millennia,"['Adventure', 'Fantasy', 'Drama', 'Sci-Fi']",1,3218,6844,4083,6.92,https://cdn.myanimelist.net/images/anime/1/2398.jpg,https://myanimelist.net/anime/1549/1000-nen_Joou__Queen_Millennia
19157,Youkai Watch,"['Comedy', 'Demons', 'Kids', 'Supernatural']",214,14175,3762,4081,6.93,https://cdn.myanimelist.net/images/anime/6/58137.jpg,https://myanimelist.net/anime/19157/Youkai_Watch
38052,WiSH VOYAGE,['Music'],1,454,11256,4080,6.93,https://cdn.myanimelist.net/images/anime/1050/93297.jpg,https://myanimelist.net/anime/38052/WiSH_VOYAGE
1925,Urusei Yatsura Movie 6: Itsudatte My Darling,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Romance']",1,4231,6140,4079,6.93,https://cdn.myanimelist.net/images/anime/5/88665.jpg,https://myanimelist.net/anime/1925/Urusei_Yatsura_Movie_6__Itsudatte_My_Darling
1648,UFO Princess Valkyrie 4: Toki to Yume to Ginga no Utage,"['Comedy', 'Romance', 'Sci-Fi']",2,4955,5769,4078,6.93,https://cdn.myanimelist.net/images/anime/1/2453.jpg,https://myanimelist.net/anime/1648/UFO_Princess_Valkyrie_4__Toki_to_Yume_to_Ginga_no_Utage
36827,Tantei Opera Milky Holmes: Arsene Karei naru Yokubou,"['Comedy', 'Mystery', 'Super Power']",1,1254,9066,4077,6.93,https://cdn.myanimelist.net/images/anime/11/89382.jpg,https://myanimelist.net/anime/36827/Tantei_Opera_Milky_Holmes__Arsene_Karei_naru_Yokubou
884,Shin Angyo Onshi,"['Action', 'Fantasy']",1,15921,3580,4076,6.93,https://cdn.myanimelist.net/images/anime/6/23992.jpg,https://myanimelist.net/anime/884/Shin_Angyo_Onshi
3751,Sekai Meisaku Douwa: Mori wa Ikiteiru,"['Fantasy', 'Kids']",1,1515,8602,4075,6.93,https://cdn.myanimelist.net/images/anime/8/48791.jpg,https://myanimelist.net/anime/3751/Sekai_Meisaku_Douwa__Mori_wa_Ikiteiru
1166,Sakura Taisen: Gouka Kenran,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",6,3166,6882,4074,6.93,https://cdn.myanimelist.net/images/anime/9/25433.jpg,https://myanimelist.net/anime/1166/Sakura_Taisen__Gouka_Kenran
1260,Saint Seiya: Saishuu Seisen no Senshi-tachi,"['Adventure', 'Sci-Fi', 'Shounen']",1,11489,4092,4073,6.93,https://cdn.myanimelist.net/images/anime/3/16347.jpg,https://myanimelist.net/anime/1260/Saint_Seiya__Saishuu_Seisen_no_Senshi-tachi
